index,array_name,data_type,ax,az,bx,bz,mx,mz,nx,nz,apparent_resistivity_ohm_m,resistance_ohm,geometric_factor_m,dobs,standard_deviation
127,wenner,apparent_resistivity,150.0,0.0,270.0,0.0,190.0,0.0,230.0,0.0,47.79,0.19015036825904197,251.32741228718345,47.79,2.3895
128,wenner,apparent_resistivity,140.0,0.0,260.0,0.0,180.0,0.0,220.0,0.0,60.37,0.24020459786144305,251.32741228718345,60.37,3.0185
129,wenner,apparent_resistivity,130.0,0.0,250.0,0.0,170.0,0.0,210.0,0.0,67.18,0.26730072692283824,251.32741228718345,67.18,3.3590000000000004
130,wenner,apparent_resistivity,120.0,0.0,240.0,0.0,160.0,0.0,200.0,0.0,63.76,0.25369297928848117,251.32741228718345,63.76,3.188
131,wenner,apparent_resistivity,110.0,0.0,230.0,0.0,150.0,0.0,190.0,0.0,49.64,0.19751128437704213,251.32741228718345,49.64,2.482
132,wenner,apparent_resistivity,100.0,0.0,220.0,0.0,140.0,0.0,180.0,0.0,59.61,0.23718065394269702,251.32741228718345,59.61,2.9805
133,wenner,apparent_resistivity,90.0,0.0,210.0,0.0,130.0,0.0,170.0,0.0,56.54,0.22496551206039406,251.32741228718345,56.54,2.827
134,wenner,apparent_resistivity,80.0,0.0,200.0,0.0,120.0,0.0,160.0,0.0,64.02,0.25472748641857845,251.32741228718345,64.02,3.201
135,wenner,apparent_resistivity,70.0,0.0,190.0,0.0,110.0,0.0,150.0,0.0,70.06,0.2787598828254547,251.32741228718345,70.06,3.503
136,wenner,apparent_resistivity,60.0,0.0,180.0,0.0,100.0,0.0,140.0,0.0,68.18,0.27127960050013566,251.32741228718345,68.18,3.4090000000000007
137,wenner,apparent_resistivity,50.0,0.0,170.0,0.0,90.0,0.0,130.0,0.0,76.79,0.3055377020006661,251.32741228718345,76.79,3.8395000000000006
138,wenner,apparent_resistivity,40.0,0.0,160.0,0.0,80.0,0.0,120.0,0.0,72.87,0.2899405175776604,251.32741228718345,72.87,3.6435000000000004
139,wenner,apparent_resistivity,30.0,0.0,150.0,0.0,70.0,0.0,110.0,0.0,71.96,0.2863197426223197,251.32741228718345,71.96,3.598
140,wenner,apparent_resistivity,20.0,0.0,140.0,0.0,60.0,0.0,100.0,0.0,81.3,0.3234824218342773,251.32741228718345,81.3,4.065
141,wenner,apparent_resistivity,10.0,0.0,130.0,0.0,50.0,0.0,90.0,0.0,86.38,0.343695099606948,251.32741228718345,86.38,4.319
142,wenner,apparent_resistivity,0.0,0.0,120.0,0.0,40.0,0.0,80.0,0.0,96.62,0.38443876503847324,251.32741228718345,96.62,4.831
143,wenner,apparent_resistivity,270.0,0.0,420.0,0.0,320.0,0.0,370.0,0.0,87.07,0.2771524179002265,314.1592653589793,87.07,4.3534999999999995
144,wenner,apparent_resistivity,260.0,0.0,410.0,0.0,310.0,0.0,360.0,0.0,77.69,0.24729495057618697,314.1592653589793,77.69,3.8845
145,wenner,apparent_resistivity,250.0,0.0,400.0,0.0,300.0,0.0,350.0,0.0,79.46,0.25292903556164004,314.1592653589793,79.46,3.973
146,wenner,apparent_resistivity,240.0,0.0,390.0,0.0,290.0,0.0,340.0,0.0,91.62,0.291635517721589,314.1592653589793,91.62,4.581
147,wenner,apparent_resistivity,230.0,0.0,380.0,0.0,280.0,0.0,330.0,0.0,69.12,0.22001579333023613,314.1592653589793,69.12,3.4560000000000004
148,wenner,apparent_resistivity,220.0,0.0,370.0,0.0,270.0,0.0,320.0,0.0,46.61,0.14836423795026482,314.1592653589793,46.61,2.3305000000000002
149,wenner,apparent_resistivity,210.0,0.0,360.0,0.0,260.0,0.0,310.0,0.0,54.55,0.1736380429132578,314.1592653589793,54.55,2.7275
150,wenner,apparent_resistivity,200.0,0.0,350.0,0.0,250.0,0.0,300.0,0.0,46.03,0.14651804061039886,314.1592653589793,46.03,2.3015000000000003
151,wenner,apparent_resistivity,190.0,0.0,340.0,0.0,240.0,0.0,290.0,0.0,41.3,0.13146198299390555,314.1592653589793,41.3,2.065
152,wenner,apparent_resistivity,180.0,0.0,330.0,0.0,230.0,0.0,280.0,0.0,39.07,0.12436367253200702,314.1592653589793,39.07,1.9535
153,wenner,apparent_resistivity,170.0,0.0,320.0,0.0,220.0,0.0,270.0,0.0,50.85,0.16186057712445756,314.1592653589793,50.85,2.5425000000000004
154,wenner,apparent_resistivity,160.0,0.0,310.0,0.0,210.0,0.0,260.0,0.0,50.65,0.16122395735208997,314.1592653589793,50.65,2.5325
